iter	Passed	Remaining
0	0	65
1	1	58
2	1	55
3	2	51
4	2	50
5	3	49
6	3	49
7	4	50
8	4	49
9	5	48
10	5	47
11	6	48
12	7	48
13	7	47
14	8	46
15	8	45
16	9	44
17	9	44
18	10	43
19	10	42
20	11	42
21	11	41
22	12	40
23	12	39
24	13	39
25	13	38
26	13	37
27	14	36
28	14	36
29	15	35
30	15	35
31	16	34
32	16	34
33	17	33
34	17	33
35	18	32
36	18	32
37	19	31
38	19	30
39	20	30
40	20	29
41	20	28
42	21	28
43	21	27
44	21	26
45	22	26
46	22	25
47	23	25
48	23	24
49	24	24
50	24	23
51	25	23
52	25	22
53	26	22
54	26	21
55	26	21
56	27	20
57	27	20
58	28	19
59	28	19
60	28	18
61	29	17
62	29	17
63	30	16
64	30	16
65	30	15
66	31	15
67	31	14
68	32	14
69	32	13
70	32	13
71	33	12
72	33	12
73	34	12
74	34	11
75	35	11
76	35	10
77	35	10
78	36	9
79	36	9
80	37	8
81	37	8
82	38	7
83	38	7
84	39	6
85	39	6
86	39	5
87	40	5
88	40	5
89	41	4
90	41	4
91	41	3
92	42	3
93	42	2
94	43	2
95	43	1
96	43	1
97	44	0
98	44	0
99	45	0
