iter	Passed	Remaining
0	72	72062
1	72	36359
2	73	24397
3	73	18401
4	74	14792
5	74	12390
6	75	10665
7	75	9375
8	76	8373
9	76	7567
10	76	6910
11	77	6364
12	77	5899
13	78	5502
14	78	5159
15	79	4863
16	79	4595
17	79	4358
18	80	4145
19	80	3952
20	81	3778
21	81	3621
22	81	3480
23	82	3347
24	82	3226
25	83	3114
26	83	3009
27	83	2912
28	84	2823
29	84	2738
30	85	2662
31	85	2589
32	85	2519
33	86	2455
34	86	2394
35	87	2336
36	87	2281
37	88	2229
38	88	2181
39	88	2134
40	89	2089
41	89	2047
42	90	2007
43	90	1968
44	91	1931
45	91	1898
46	91	1864
47	92	1830
48	92	1799
49	93	1769
50	93	1740
51	93	1712
52	94	1685
53	94	1660
54	95	1635
55	95	1611
56	95	1587
57	96	1572
58	97	1551
59	97	1530
60	98	1511
61	98	1492
62	99	1473
63	99	1455
64	99	1437
65	100	1420
66	100	1403
67	101	1386
68	101	1370
69	101	1354
70	102	1340
71	102	1325
72	103	1310
73	103	1296
74	104	1283
75	104	1274
76	105	1262
77	105	1249
78	106	1236
79	106	1224
80	106	1213
81	107	1201
82	107	1188
83	107	1177
84	108	1167
85	108	1156
86	109	1146
87	109	1136
88	110	1127
89	110	1117
90	111	1110
91	111	1101
92	112	1092
93	112	1083
94	112	1074
95	113	1066
96	113	1058
97	114	1050
98	114	1042
99	114	1034
100	115	1026
101	115	1018
102	116	1011
103	116	1004
104	116	996
105	117	994
106	118	987
107	118	980
108	119	973
109	119	967
110	119	960
111	120	954
112	120	948
113	121	941
114	121	935
115	121	929
116	122	923
117	122	917
118	123	911
119	123	906
120	123	900
121	124	895
122	124	890
123	125	885
124	125	880
125	126	875
126	126	869
127	126	864
128	127	860
129	127	855
130	128	850
131	128	845
132	129	841
133	129	836
134	129	831
135	130	827
136	130	823
137	131	819
138	131	815
139	132	811
140	132	807
141	132	801
142	133	797
143	133	793
144	133	789
145	134	785
146	134	782
147	135	778
148	135	774
149	136	770
150	136	767
151	136	763
152	137	760
153	137	756
154	138	753
155	138	750
156	139	746
157	139	743
158	139	740
159	140	736
160	140	732
161	141	729
162	141	726
163	141	723
164	142	719
